"Date","Time","O","H","L","C","U","D"
07/29/2002,0935,23.277,23.361,23.227,23.320,2050600,2013500
07/29/2002,0940,23.300,23.420,23.270,23.361,1618700,1462700
07/29/2002,0945,23.367,23.450,23.080,23.330,1727900,1335000
07/29/2002,0950,23.327,23.400,23.260,23.260,828900,790600
07/29/2002,0955,23.300,23.330,23.150,23.170,1418900,945800
07/29/2002,1000,23.150,23.318,23.120,23.206,730100,702600
07/29/2002,1005,23.240,23.340,23.160,23.270,1045800,586200
07/29/2002,1010,23.270,23.330,23.200,23.300,616600,426600
07/29/2002,1015,23.310,23.420,23.220,23.238,666700,696400
07/29/2002,1020,23.230,23.344,23.230,23.300,486600,375900
07/29/2002,1025,23.320,23.372,23.220,23.335,641100,695500
07/29/2002,1030,23.335,23.420,23.310,23.403,966100,1162500
07/29/2002,1035,23.410,23.520,23.380,23.484,913100,1134000
07/29/2002,1040,23.450,23.550,23.420,23.430,638900,992300
07/29/2002,1045,23.450,23.490,23.373,23.390,575700,385400
07/29/2002,1050,23.380,23.480,23.350,23.436,452800,611400
07/29/2002,1055,23.460,23.500,23.400,23.470,630300,618100
07/29/2002,1100,23.480,23.580,23.403,23.403,674400,950400
07/29/2002,1105,23.420,23.470,23.380,23.440,331900,536700
07/29/2002,1110,23.438,23.530,23.414,23.478,405600,524700
07/29/2002,1115,23.500,23.500,23.330,23.350,334000,424200
07/29/2002,1120,23.350,23.421,23.330,23.370,543500,954300
07/29/2002,1125,23.390,23.400,23.300,23.300,305600,891500
07/29/2002,1130,23.310,23.420,23.300,23.400,292900,496500
07/29/2002,1135,23.407,23.470,23.390,23.420,617600,370200
07/29/2002,1140,23.420,23.480,23.390,23.440,235400,231600
07/29/2002,1145,23.460,23.500,23.400,23.480,207700,208900
07/29/2002,1150,23.473,23.490,23.400,23.440,131500,156100
07/29/2002,1155,23.450,23.690,23.410,23.638,1022000,992500
07/29/2002,1200,23.639,23.670,23.580,23.600,728500,659100
07/29/2002,1205,23.600,23.630,23.570,23.613,235100,300900
07/29/2002,1210,23.600,23.680,23.590,23.650,846900,405700
07/29/2002,1215,23.630,23.680,23.600,23.660,321600,227900
07/29/2002,1220,23.650,23.670,23.603,23.610,106600,431200
07/29/2002,1225,23.620,23.650,23.560,23.580,110100,228400
07/29/2002,1230,23.580,23.650,23.550,23.640,421800,281200
07/29/2002,1235,23.600,23.670,23.600,23.645,579300,289800
07/29/2002,1240,23.650,23.710,23.610,23.700,329600,334400
07/29/2002,1245,23.690,23.810,23.690,23.770,643000,677700
07/29/2002,1250,23.767,23.890,23.750,23.850,571900,802300
07/29/2002,1255,23.850,23.870,23.760,23.807,605600,443000
07/29/2002,1300,23.800,23.850,23.750,23.820,394300,474300
07/29/2002,1305,23.806,23.850,23.770,23.848,174500,289000
07/29/2002,1310,23.848,23.860,23.750,23.790,198100,387000
07/29/2002,1315,23.800,23.830,23.702,23.710,852100,366000
07/29/2002,1320,23.720,23.740,23.680,23.720,322600,451700
07/29/2002,1325,23.700,23.800,23.670,23.780,267300,353200
07/29/2002,1330,23.780,23.820,23.710,23.720,229500,313700
07/29/2002,1335,23.720,23.750,23.650,23.730,285300,271000
07/29/2002,1340,23.730,23.833,23.700,23.800,354300,340400
07/29/2002,1345,23.800,23.900,23.770,23.860,386300,396900
07/29/2002,1350,23.860,23.928,23.802,23.920,402300,477500
07/29/2002,1355,23.880,24.020,23.860,23.962,736300,671100
07/29/2002,1400,23.990,24.000,23.897,23.904,935100,539700
07/29/2002,1405,23.940,23.957,23.870,23.920,219900,399500
07/29/2002,1410,23.920,24.034,23.900,24.034,538500,676000
07/29/2002,1415,24.032,24.032,23.860,23.870,568000,726100
07/29/2002,1420,23.890,23.950,23.810,23.879,277200,352300
07/29/2002,1425,23.880,24.000,23.840,23.870,277300,275700
07/29/2002,1430,23.871,23.956,23.850,23.940,255100,216900
07/29/2002,1435,23.963,24.000,23.910,24.000,290200,318100
07/29/2002,1440,23.960,24.000,23.900,23.900,725700,296900
07/29/2002,1445,23.930,24.000,23.900,23.970,356600,483900
07/29/2002,1450,23.990,24.000,23.870,23.926,383800,395100
07/29/2002,1455,23.920,24.000,23.900,23.960,299900,219400
07/29/2002,1500,23.960,23.980,23.850,23.857,348000,355300
07/29/2002,1505,23.862,23.957,23.830,23.930,315600,331800
07/29/2002,1510,23.920,24.054,23.920,24.040,1026400,991400
07/29/2002,1515,24.043,24.070,24.020,24.050,677400,649400
07/29/2002,1520,24.057,24.120,24.010,24.090,726500,813300
07/29/2002,1525,24.065,24.090,23.990,24.026,362000,523700
07/29/2002,1530,24.020,24.028,23.920,23.970,351400,450900
07/29/2002,1535,23.963,23.990,23.860,23.913,472400,481800
07/29/2002,1540,23.900,24.000,23.880,23.980,507600,576200
07/29/2002,1545,23.980,24.040,23.960,24.030,492400,617400
07/29/2002,1550,24.030,24.050,23.970,24.000,631300,444500
07/29/2002,1555,23.990,24.090,23.970,24.050,1273100,724600
07/29/2002,1600,24.050,24.090,23.960,24.045,2882700,929000
07/30/2002,0935,23.731,23.800,23.610,23.710,2130000,1396700
