"Date","Time","O","H","L","C","U","D"
05/22/2001,0933,51.330,51.440,51.224,51.290,1540600,172600
05/22/2001,0936,51.300,51.490,51.260,51.450,790200,307600
05/22/2001,0939,51.450,51.550,51.320,51.509,610300,478300
05/22/2001,0942,51.510,51.640,51.470,51.600,473400,505200
05/22/2001,0945,51.600,51.600,51.449,51.500,1496200,467800
05/22/2001,0948,51.450,51.550,51.250,51.280,1081400,244200
05/22/2001,0951,51.400,51.400,50.950,51.010,1190300,855500
05/22/2001,0954,51.010,51.100,50.742,50.800,1144300,586200
05/22/2001,0957,50.800,50.850,50.700,50.750,596900,656300
05/22/2001,1000,50.750,50.860,50.680,50.800,1212600,487500
05/22/2001,1003,50.800,50.970,50.720,50.920,926500,1343500
05/22/2001,1006,50.910,51.010,50.850,50.970,1180700,246100
05/22/2001,1009,50.999,51.070,50.900,51.050,540900,576100
05/22/2001,1012,51.000,51.300,51.000,51.300,659600,1297400
05/22/2001,1015,51.300,51.528,51.300,51.450,1603700,447000
05/22/2001,1018,51.440,51.570,51.330,51.350,676600,197900
05/22/2001,1021,51.350,51.538,51.320,51.513,518100,468400
05/22/2001,1024,51.480,51.580,51.360,51.500,630300,1043800
05/22/2001,1027,51.450,51.600,51.300,51.310,704700,284500
05/22/2001,1030,51.320,51.400,51.260,51.260,557600,325900
05/22/2001,1033,51.299,51.390,51.020,51.060,593300,240600
05/22/2001,1036,51.050,51.100,50.890,50.960,629400,263700
05/22/2001,1039,50.930,50.990,50.790,50.990,457800,403100
05/22/2001,1042,50.900,50.980,50.790,50.920,515700,196400
05/22/2001,1045,50.900,51.090,50.850,51.090,452600,162100
05/22/2001,1048,51.050,51.100,50.970,51.050,865600,199600
05/22/2001,1051,51.040,51.200,50.900,50.950,634100,242100
05/22/2001,1054,50.950,51.150,50.861,50.920,388800,203800
05/22/2001,1057,50.900,51.090,50.860,51.050,161400,269000
05/22/2001,1100,51.070,51.100,50.790,50.800,300300,267000
05/22/2001,1103,50.810,50.910,50.650,50.670,755900,217000
05/22/2001,1106,50.659,50.740,50.600,50.670,409800,395500
05/22/2001,1109,50.700,50.800,50.620,50.780,305800,169700
05/22/2001,1112,50.790,50.810,50.690,50.801,205600,97800
05/22/2001,1115,50.801,50.890,50.700,50.890,139700,69600
05/22/2001,1118,50.870,50.970,50.800,50.910,375500,152700
05/22/2001,1121,50.920,50.950,50.810,50.900,178600,135300
05/22/2001,1124,50.930,51.050,50.880,51.000,329700,361700
05/22/2001,1127,50.940,51.050,50.770,50.810,127300,359000
05/22/2001,1130,50.800,50.870,50.720,50.800,221500,85500
05/22/2001,1133,50.791,50.840,50.661,50.700,159700,149000
