Date,Open,High,Low,Close,Volume
05/10/2000,67.75,67.87,65.75,66.19,33870000
05/11/2000,66.62,68.12,65.75,67.87,29198400
05/12/2000,68.44,69.75,68.25,68.81,18944700
05/15/2000,69.00,69.44,68.00,69.37,16955300
05/16/2000,69.56,70.62,69.06,69.50,24208300
05/17/2000,68.87,69.12,67.25,67.69,26621600
05/18/2000,68.06,68.06,65.87,66.19,26820300
05/19/2000,65.37,65.94,64.50,65.06,33294100
05/22/2000,65.12,65.25,62.44,64.19,34981700
05/23/2000,63.88,65.56,63.06,63.19,28982500
05/24/2000,63.13,66.56,63.00,65.56,42741900
05/25/2000,64.56,64.75,61.13,61.50,47176900
05/26/2000,62.06,62.63,60.38,61.44,27911600
05/30/2000,62.44,64.12,62.00,63.38,34272800
05/31/2000,63.64,63.70,62.06,62.56,27486400
06/01/2000,64.37,66.00,63.81,64.56,47255600
06/02/2000,66.00,66.75,65.00,66.31,40232500
06/05/2000,66.02,68.37,66.00,66.87,32200000
06/06/2000,68.19,69.87,67.81,69.62,49514800
06/07/2000,69.25,70.75,67.12,70.50,38158300
06/08/2000,71.56,72.12,68.25,68.81,47384400
06/09/2000,69.62,69.69,68.31,68.81,17858000
06/12/2000,69.00,69.00,66.37,66.87,24630500
06/13/2000,66.75,68.00,66.12,67.87,22147200
06/14/2000,69.81,71.00,69.50,70.50,39999700
06/15/2000,70.81,72.69,70.62,72.37,32799800
06/16/2000,72.62,73.12,71.50,72.56,34358300
06/19/2000,72.56,73.81,72.00,73.69,23303700
06/20/2000,73.87,75.25,73.75,74.94,31141700
06/21/2000,77.00,82.19,76.94,80.69,80205300
06/22/2000,81.37,82.00,79.31,79.87,43661900
06/23/2000,79.94,80.06,77.00,77.69,24909100
06/26/2000,77.50,80.12,77.50,79.50,24145500
06/27/2000,79.25,80.12,78.37,78.81,15538800
06/28/2000,79.00,80.06,78.62,78.94,18735000
06/29/2000,78.25,78.94,77.06,77.19,19227000
06/30/2000,77.06,80.00,76.69,80.00,26182800
07/03/2000,79.69,80.06,79.37,80.00,7871600
07/05/2000,79.87,79.87,78.25,78.50,17413400
07/06/2000,78.87,81.69,78.50,80.94,23940300
07/07/2000,81.27,82.87,80.56,82.00,27080300
07/10/2000,80.69,81.31,79.37,79.44,26347700
07/11/2000,78.81,80.50,78.50,79.12,18583800
07/12/2000,78.25,81.00,77.19,80.31,29188000
07/13/2000,78.81,80.00,77.37,79.94,40422500
07/14/2000,79.50,79.75,78.44,78.94,25590500
07/17/2000,78.25,79.56,77.50,78.19,27000000
07/18/2000,77.62,79.50,77.44,78.50,35313400
07/19/2000,76.06,77.50,72.81,73.12,69963600
07/20/2000,73.44,75.25,73.12,74.81,27348300
07/21/2000,74.75,75.00,71.87,72.31,28050500
07/24/2000,72.06,72.12,70.00,70.56,28084400
07/25/2000,70.81,71.00,68.37,69.00,32096700
07/26/2000,69.06,69.50,67.25,67.81,42703600
07/27/2000,67.87,70.12,67.50,69.37,37173700
07/28/2000,70.94,71.81,69.62,69.69,37824400
07/31/2000,70.19,71.12,69.25,69.81,35143000
08/01/2000,69.94,70.06,68.19,68.69,23582800
08/02/2000,68.56,70.44,68.50,69.37,24137200
08/03/2000,68.19,70.37,68.12,70.25,27272700
08/04/2000,69.44,69.87,68.19,69.12,19055800
08/07/2000,70.19,71.12,69.75,70.00,26371400
